2023-03-04 23:40:15,347,347 root INFO Block: 1 To 2, Step block: 1, Total transaction: 0, Transaction ERC-721: 0
2023-03-04 23:40:16,627,627 root INFO Block: 2 To 4, Step block: 2, Total transaction: 0, Transaction ERC-721: 0
2023-03-04 23:40:17,863,863 root INFO Block: 4 To 8, Step block: 4, Total transaction: 0, Transaction ERC-721: 0
2023-03-04 23:40:19,130,130 root INFO Block: 8 To 16, Step block: 8, Total transaction: 0, Transaction ERC-721: 0
2023-03-04 23:40:22,014,14 root INFO Block: 16 To 32, Step block: 16, Total transaction: 0, Transaction ERC-721: 0
2023-03-04 23:40:23,306,306 root INFO Block: 32 To 64, Step block: 32, Total transaction: 0, Transaction ERC-721: 0
2023-03-04 23:40:24,541,541 root INFO Block: 64 To 128, Step block: 64, Total transaction: 0, Transaction ERC-721: 0
2023-03-04 23:40:25,755,755 root INFO Block: 128 To 256, Step block: 128, Total transaction: 0, Transaction ERC-721: 0
2023-03-04 23:40:26,954,954 root INFO Block: 256 To 512, Step block: 256, Total transaction: 0, Transaction ERC-721: 0
2023-03-04 23:40:28,155,155 root INFO Block: 512 To 1024, Step block: 512, Total transaction: 0, Transaction ERC-721: 0
2023-03-04 23:40:29,457,457 root INFO Block: 1024 To 2048, Step block: 1024, Total transaction: 0, Transaction ERC-721: 0
2023-03-04 23:40:31,442,442 root INFO Block: 2048 To 4096, Step block: 2048, Total transaction: 0, Transaction ERC-721: 0
2023-03-04 23:40:32,677,677 root INFO Block: 4096 To 8192, Step block: 4096, Total transaction: 0, Transaction ERC-721: 0
2023-03-04 23:40:33,865,865 root INFO Block: 8192 To 16384, Step block: 8192, Total transaction: 0, Transaction ERC-721: 0
2023-03-04 23:40:35,060,60 root INFO Block: 16384 To 32768, Step block: 16384, Total transaction: 0, Transaction ERC-721: 0
2023-03-04 23:40:36,416,416 root INFO Block: 32768 To 65536, Step block: 32768, Total transaction: 1, Transaction ERC-721: 0, Crawled Transaction: 1, Crawled Transaction ERC 721: 0
2023-03-04 23:40:36,416,416 root INFO Block: 65536 To 131072, Step block: 65536, Total transaction: 1, Transaction ERC-721: 0, Crawled Transaction: 2, Crawled Transaction ERC 721: 0
2023-03-04 23:40:37,772,772 root INFO Block: 131072 To 196608, Step block: 65536, Total transaction: 9, Transaction ERC-721: 0, Crawled Transaction: 11, Crawled Transaction ERC 721: 0
2023-03-04 23:40:37,772,772 root INFO Block: 196608 To 327680, Step block: 131072, Total transaction: 9, Transaction ERC-721: 0, Crawled Transaction: 20, Crawled Transaction ERC 721: 0
2023-03-04 23:40:49,445,445 root INFO Block: 327680 To 458752, Step block: 131072, Total transaction: 8234, Transaction ERC-721: 0, Crawled Transaction: 8254, Crawled Transaction ERC 721: 0
2023-03-04 23:41:54,730,730 root INFO Block: 458752 To 460800, Step block: 2048, Total transaction: 3977, Transaction ERC-721: 0, Crawled Transaction: 12231, Crawled Transaction ERC 721: 0
2023-03-04 23:41:54,731,731 root INFO Block: 460800 To 464896, Step block: 4096, Total transaction: 3977, Transaction ERC-721: 0, Crawled Transaction: 16208, Crawled Transaction ERC 721: 0
2023-03-04 23:41:59,107,107 root INFO Block: 464896 To 468992, Step block: 4096, Total transaction: 3879, Transaction ERC-721: 0, Crawled Transaction: 20087, Crawled Transaction ERC 721: 0
2023-03-04 23:41:59,107,107 root INFO Block: 468992 To 477184, Step block: 8192, Total transaction: 3879, Transaction ERC-721: 0, Crawled Transaction: 23966, Crawled Transaction ERC 721: 0
2023-03-04 23:42:26,608,608 root INFO Block: 477184 To 477696, Step block: 512, Total transaction: 5462, Transaction ERC-721: 0, Crawled Transaction: 29428, Crawled Transaction ERC 721: 0
2023-03-04 23:42:30,330,330 root INFO Block: 477696 To 478208, Step block: 512, Total transaction: 4594, Transaction ERC-721: 0, Crawled Transaction: 34022, Crawled Transaction ERC 721: 0
2023-03-04 23:42:33,861,861 root INFO Block: 478208 To 478720, Step block: 512, Total transaction: 4067, Transaction ERC-721: 0, Crawled Transaction: 38089, Crawled Transaction ERC 721: 0
2023-03-04 23:42:37,739,739 root INFO Block: 478720 To 479232, Step block: 512, Total transaction: 3832, Transaction ERC-721: 0, Crawled Transaction: 41921, Crawled Transaction ERC 721: 0
2023-03-04 23:42:37,740,740 root INFO Block: 479232 To 480256, Step block: 1024, Total transaction: 3832, Transaction ERC-721: 0, Crawled Transaction: 45753, Crawled Transaction ERC 721: 0
2023-03-04 23:42:42,281,281 root INFO Block: 480256 To 481280, Step block: 1024, Total transaction: 4902, Transaction ERC-721: 0, Crawled Transaction: 50655, Crawled Transaction ERC 721: 0
2023-03-04 23:42:46,566,566 root INFO Block: 481280 To 482304, Step block: 1024, Total transaction: 4115, Transaction ERC-721: 0, Crawled Transaction: 54770, Crawled Transaction ERC 721: 0
