2023-03-16 08:16:58,394,394 root INFO Block: 0 To 1, Step block: 1, Total transaction: 0, Transaction ERC-721: 0
2023-03-16 08:16:59,345,345 root INFO Block: 1 To 3, Step block: 2, Total transaction: 0, Transaction ERC-721: 0
2023-03-16 08:17:00,268,268 root INFO Block: 3 To 7, Step block: 4, Total transaction: 0, Transaction ERC-721: 0
2023-03-16 08:17:01,191,191 root INFO Block: 7 To 15, Step block: 8, Total transaction: 0, Transaction ERC-721: 0
2023-03-16 08:17:02,124,124 root INFO Block: 15 To 31, Step block: 16, Total transaction: 0, Transaction ERC-721: 0
2023-03-16 08:17:03,032,32 root INFO Block: 31 To 63, Step block: 32, Total transaction: 0, Transaction ERC-721: 0
2023-03-16 08:17:03,983,983 root INFO Block: 63 To 127, Step block: 64, Total transaction: 0, Transaction ERC-721: 0
2023-03-16 08:17:04,893,893 root INFO Block: 127 To 255, Step block: 128, Total transaction: 0, Transaction ERC-721: 0
2023-03-16 08:17:05,807,807 root INFO Block: 255 To 511, Step block: 256, Total transaction: 0, Transaction ERC-721: 0
2023-03-16 08:17:06,715,715 root INFO Block: 511 To 1023, Step block: 512, Total transaction: 0, Transaction ERC-721: 0
2023-03-16 08:17:07,659,659 root INFO Block: 1023 To 2047, Step block: 1024, Total transaction: 0, Transaction ERC-721: 0
2023-03-16 08:17:08,595,595 root INFO Block: 2047 To 4095, Step block: 2048, Total transaction: 0, Transaction ERC-721: 0
2023-03-16 08:17:09,516,516 root INFO Block: 4095 To 8191, Step block: 4096, Total transaction: 0, Transaction ERC-721: 0
2023-03-16 08:17:10,449,449 root INFO Block: 8191 To 16383, Step block: 8192, Total transaction: 0, Transaction ERC-721: 0
2023-03-16 08:17:11,380,380 root INFO Block: 16383 To 32767, Step block: 16384, Total transaction: 0, Transaction ERC-721: 0
2023-03-16 08:17:12,295,295 root INFO Block: 32767 To 65535, Step block: 32768, Total transaction: 1, Transaction ERC-721: 0, Crawled Transaction: 1, Crawled Transaction ERC 721: 0
2023-03-16 08:17:12,295,295 root INFO Block: 65535 To 131071, Step block: 65536, Total transaction: 1, Transaction ERC-721: 0, Crawled Transaction: 2, Crawled Transaction ERC 721: 0
2023-03-16 08:17:13,212,212 root INFO Block: 131071 To 196607, Step block: 65536, Total transaction: 9, Transaction ERC-721: 0, Crawled Transaction: 11, Crawled Transaction ERC 721: 0
2023-03-16 08:17:13,212,212 root INFO Block: 196607 To 327679, Step block: 131072, Total transaction: 9, Transaction ERC-721: 0, Crawled Transaction: 20, Crawled Transaction ERC 721: 0
2023-03-16 08:17:18,338,338 root INFO Block: 327679 To 458751, Step block: 131072, Total transaction: 8234, Transaction ERC-721: 0, Crawled Transaction: 8254, Crawled Transaction ERC 721: 0
2023-03-16 08:17:39,808,808 root INFO Block: 458751 To 460799, Step block: 2048, Total transaction: 3974, Transaction ERC-721: 0, Crawled Transaction: 12228, Crawled Transaction ERC 721: 0
2023-03-16 08:17:39,809,809 root INFO Block: 460799 To 464895, Step block: 4096, Total transaction: 3974, Transaction ERC-721: 0, Crawled Transaction: 16202, Crawled Transaction ERC 721: 0
2023-03-16 08:17:42,356,356 root INFO Block: 464895 To 468991, Step block: 4096, Total transaction: 3879, Transaction ERC-721: 0, Crawled Transaction: 20081, Crawled Transaction ERC 721: 0
2023-03-16 08:17:42,357,357 root INFO Block: 468991 To 477183, Step block: 8192, Total transaction: 3879, Transaction ERC-721: 0, Crawled Transaction: 23960, Crawled Transaction ERC 721: 0
2023-03-16 08:17:57,781,781 root INFO Block: 477183 To 477695, Step block: 512, Total transaction: 5468, Transaction ERC-721: 0, Crawled Transaction: 29428, Crawled Transaction ERC 721: 0
2023-03-16 08:17:59,897,897 root INFO Block: 477695 To 478207, Step block: 512, Total transaction: 4594, Transaction ERC-721: 0, Crawled Transaction: 34022, Crawled Transaction ERC 721: 0
2023-03-16 08:18:02,332,332 root INFO Block: 478207 To 478719, Step block: 512, Total transaction: 4068, Transaction ERC-721: 0, Crawled Transaction: 38090, Crawled Transaction ERC 721: 0
2023-03-16 08:18:04,692,692 root INFO Block: 478719 To 479231, Step block: 512, Total transaction: 3825, Transaction ERC-721: 0, Crawled Transaction: 41915, Crawled Transaction ERC 721: 0
2023-03-16 08:18:04,692,692 root INFO Block: 479231 To 480255, Step block: 1024, Total transaction: 3825, Transaction ERC-721: 0, Crawled Transaction: 45740, Crawled Transaction ERC 721: 0
2023-03-16 08:18:06,978,978 root INFO Block: 480255 To 481279, Step block: 1024, Total transaction: 4902, Transaction ERC-721: 0, Crawled Transaction: 50642, Crawled Transaction ERC 721: 0
2023-03-16 08:18:09,197,197 root INFO Block: 481279 To 482303, Step block: 1024, Total transaction: 4115, Transaction ERC-721: 0, Crawled Transaction: 54757, Crawled Transaction ERC 721: 0
2023-03-16 08:18:11,362,362 root INFO Block: 482303 To 483327, Step block: 1024, Total transaction: 3444, Transaction ERC-721: 0, Crawled Transaction: 58201, Crawled Transaction ERC 721: 0
2023-03-16 08:18:11,362,362 root INFO Block: 483327 To 485375, Step block: 2048, Total transaction: 3444, Transaction ERC-721: 0, Crawled Transaction: 61645, Crawled Transaction ERC 721: 0
2023-03-16 08:18:14,412,412 root INFO Block: 485375 To 487423, Step block: 2048, Total transaction: 7365, Transaction ERC-721: 0, Crawled Transaction: 69010, Crawled Transaction ERC 721: 0
2023-03-16 08:18:17,374,374 root INFO Block: 487423 To 489471, Step block: 2048, Total transaction: 6399, Transaction ERC-721: 0, Crawled Transaction: 75409, Crawled Transaction ERC 721: 0
2023-03-16 08:18:20,539,539 root INFO Block: 489471 To 491519, Step block: 2048, Total transaction: 5342, Transaction ERC-721: 0, Crawled Transaction: 80751, Crawled Transaction ERC 721: 0
2023-03-16 08:18:23,199,199 root INFO Block: 491519 To 493567, Step block: 2048, Total transaction: 4332, Transaction ERC-721: 0, Crawled Transaction: 85083, Crawled Transaction ERC 721: 0
2023-03-16 08:18:25,688,688 root INFO Block: 493567 To 495615, Step block: 2048, Total transaction: 4320, Transaction ERC-721: 0, Crawled Transaction: 89403, Crawled Transaction ERC 721: 0
2023-03-16 08:18:27,984,984 root INFO Block: 495615 To 497663, Step block: 2048, Total transaction: 4035, Transaction ERC-721: 0, Crawled Transaction: 93438, Crawled Transaction ERC 721: 0
2023-03-16 08:18:30,319,319 root INFO Block: 497663 To 499711, Step block: 2048, Total transaction: 3323, Transaction ERC-721: 0, Crawled Transaction: 96761, Crawled Transaction ERC 721: 0
2023-03-16 08:18:30,320,320 root INFO Block: 499711 To 503807, Step block: 4096, Total transaction: 3323, Transaction ERC-721: 0, Crawled Transaction: 100084, Crawled Transaction ERC 721: 0
2023-03-16 08:18:32,791,791 root INFO Block: 503807 To 507903, Step block: 4096, Total transaction: 4231, Transaction ERC-721: 0, Crawled Transaction: 104315, Crawled Transaction ERC 721: 0
2023-03-16 08:18:34,914,914 root INFO Block: 507903 To 511999, Step block: 4096, Total transaction: 2374, Transaction ERC-721: 0, Crawled Transaction: 106689, Crawled Transaction ERC 721: 0
2023-03-16 08:18:34,914,914 root INFO Block: 511999 To 520191, Step block: 8192, Total transaction: 2374, Transaction ERC-721: 0, Crawled Transaction: 109063, Crawled Transaction ERC 721: 0
2023-03-16 08:18:37,889,889 root INFO Block: 520191 To 528383, Step block: 8192, Total transaction: 5635, Transaction ERC-721: 0, Crawled Transaction: 114698, Crawled Transaction ERC 721: 0
2023-03-16 08:18:40,667,667 root INFO Block: 528383 To 536575, Step block: 8192, Total transaction: 4557, Transaction ERC-721: 0, Crawled Transaction: 119255, Crawled Transaction ERC 721: 0
2023-03-16 08:18:42,860,860 root INFO Block: 536575 To 544767, Step block: 8192, Total transaction: 2366, Transaction ERC-721: 0, Crawled Transaction: 121621, Crawled Transaction ERC 721: 0
2023-03-16 08:18:42,861,861 root INFO Block: 544767 To 561151, Step block: 16384, Total transaction: 2366, Transaction ERC-721: 0, Crawled Transaction: 123987, Crawled Transaction ERC 721: 0
2023-03-16 08:18:46,136,136 root INFO Block: 561151 To 577535, Step block: 16384, Total transaction: 6986, Transaction ERC-721: 0, Crawled Transaction: 130973, Crawled Transaction ERC 721: 0
2023-03-16 08:18:49,575,575 root INFO Block: 577535 To 593919, Step block: 16384, Total transaction: 8737, Transaction ERC-721: 0, Crawled Transaction: 139710, Crawled Transaction ERC 721: 0
2023-03-16 08:18:53,410,410 root INFO Block: 593919 To 610303, Step block: 16384, Total transaction: 7491, Transaction ERC-721: 0, Crawled Transaction: 147201, Crawled Transaction ERC 721: 0
2023-03-16 08:18:57,072,72 root INFO Block: 610303 To 626687, Step block: 16384, Total transaction: 6341, Transaction ERC-721: 0, Crawled Transaction: 153542, Crawled Transaction ERC 721: 0
2023-03-16 08:19:00,439,439 root INFO Block: 626687 To 643071, Step block: 16384, Total transaction: 5096, Transaction ERC-721: 0, Crawled Transaction: 158638, Crawled Transaction ERC 721: 0
2023-03-16 08:19:04,365,365 root INFO Block: 643071 To 659455, Step block: 16384, Total transaction: 7802, Transaction ERC-721: 0, Crawled Transaction: 166440, Crawled Transaction ERC 721: 0
2023-03-16 08:19:08,558,558 root INFO Block: 659455 To 675839, Step block: 16384, Total transaction: 6833, Transaction ERC-721: 0, Crawled Transaction: 173273, Crawled Transaction ERC 721: 0
2023-03-16 08:19:12,406,406 root INFO Block: 675839 To 692223, Step block: 16384, Total transaction: 5430, Transaction ERC-721: 0, Crawled Transaction: 178703, Crawled Transaction ERC 721: 0
2023-03-16 08:19:17,586,586 root INFO Block: 692223 To 700415, Step block: 8192, Total transaction: 2781, Transaction ERC-721: 0, Crawled Transaction: 181484, Crawled Transaction ERC 721: 0
2023-03-16 08:19:17,587,587 root INFO Block: 700415 To 716799, Step block: 16384, Total transaction: 2781, Transaction ERC-721: 0, Crawled Transaction: 184265, Crawled Transaction ERC 721: 0
2023-03-16 08:19:25,908,908 root INFO Block: 716799 To 720895, Step block: 4096, Total transaction: 5745, Transaction ERC-721: 0, Crawled Transaction: 190010, Crawled Transaction ERC 721: 0
2023-03-16 08:19:28,325,325 root INFO Block: 720895 To 724991, Step block: 4096, Total transaction: 5398, Transaction ERC-721: 30, Crawled Transaction: 195408, Crawled Transaction ERC 721: 30
2023-03-16 08:19:32,041,41 root INFO Block: 724991 To 729087, Step block: 4096, Total transaction: 6390, Transaction ERC-721: 15, Crawled Transaction: 201798, Crawled Transaction ERC 721: 45
2023-03-16 08:19:35,358,358 root INFO Block: 729087 To 733183, Step block: 4096, Total transaction: 7032, Transaction ERC-721: 13, Crawled Transaction: 208830, Crawled Transaction ERC 721: 58
2023-03-16 08:19:38,697,697 root INFO Block: 733183 To 737279, Step block: 4096, Total transaction: 7525, Transaction ERC-721: 6, Crawled Transaction: 216355, Crawled Transaction ERC 721: 64
2023-03-16 08:19:41,731,731 root INFO Block: 737279 To 741375, Step block: 4096, Total transaction: 5335, Transaction ERC-721: 34, Crawled Transaction: 221690, Crawled Transaction ERC 721: 98
2023-03-16 08:19:44,782,782 root INFO Block: 741375 To 745471, Step block: 4096, Total transaction: 4974, Transaction ERC-721: 1, Crawled Transaction: 226664, Crawled Transaction ERC 721: 99
